Cód,Materia,Primer llamado,Hora
16.50,Introducción de la Bioinformática,"jueves, 11 de febrero de 2027",8:00
16.52,Inmunología Biológica,"jueves, 4 de febrero de 2027",8:00
16.53,Biotecnología Aplicada,"miércoles, 10 de febrero de 2027",16:00
16.55,Biología,"miércoles, 3 de febrero de 2027",14:00
16.57,Robótica Bioinspirada,"jueves, 11 de febrero de 2027",13:00
16.63,Procesamiento de Señales e Imágenes Biomédicas,"miércoles, 17 de febrero de 2027",19:00
16.64,Mecánica de biomateriales y tejidos,"martes, 23 de febrero de 2027",16:00
16.68,Señales y Sistemas,"miércoles, 10 de febrero de 2027",13:00
16.79,Neurociencias,"miércoles, 17 de febrero de 2027",10:00
16.80,Microfluídica,"miércoles, 10 de febrero de 2027",19:00
16.81,Neurobiología del Aprendizaje y Control del Movimiento,"martes, 23 de febrero de 2027",13:00
16.85,Procesamiento Avanzado de Imágenes en Biología y Biomedicina,"lunes, 22 de febrero de 2027",10:00
16.97,Modelado en mecánica cardiovascular,"martes, 16 de febrero de 2027",16:00
16.98,Glicobiología Funcional,"jueves, 4 de febrero de 2027",16:00
17.01,Introducción a la Ingeniería Química,"miércoles, 3 de febrero de 2027",9:00
17.02,Procesos Industriales,"miércoles, 10 de febrero de 2027",13:00
17.03,Bioquímica y Microbiología Aplicadas,"jueves, 18 de febrero de 2027",8:00
17.04,Fenómenos de Transporte,"jueves, 18 de febrero de 2027",19:00
17.05,Control de Procesos,"martes, 23 de febrero de 2027",17:00
17.06,Proyecto Final de Carrera I,"martes, 23 de febrero de 2027",17:00
17.07,Proyecto Final de Carrera II,"lunes, 22 de febrero de 2027",17:00
17.08,Seguridad de Procesos,"jueves, 18 de febrero de 2027",19:00
17.09,Industrias Químicas,"miércoles, 10 de febrero de 2027",19:00
17.10,"Desarrollo de Yacimientos, Producción, Tratamiento y Comercialización de Gas y Petróleo","miércoles, 10 de febrero de 2027",19:00
17.15,Introducción a la Ingeniería Ambiental,"martes, 23 de febrero de 2027",13:00
17.16,Introducción a la Nanotecnología,"miércoles, 17 de febrero de 2027",19:00
17.19,Calidad de Aire,"viernes, 5 de febrero de 2027",13:00
17.20,Agua y Efluentes Líquidos,"viernes, 12 de febrero de 2027",11:00
17.23,Triple Impacto: Estrategias para el Desarrollo Sostenible,"jueves, 11 de febrero de 2027",19:00
17.24,Introducción al Proceso de Producción de Cerveza,"jueves, 18 de febrero de 2027",16:00
