Cód,Materia,Primer llamado,Hora
72.43,Gestión de Proyectos Informáticos,"miércoles, 10 de febrero de 2027",15:00
72.44,Criptografía y Seguridad,"lunes, 22 de febrero de 2027",15:00
72.52,Análisis y Tratamiento de Imágenes,"jueves, 4 de febrero de 2027",16:00
72.54,OLAP y Explotación de Datos,"miércoles, 10 de febrero de 2027",10:00
72.58,Computación Gráfica,"martes, 23 de febrero de 2027",8:00
72.60,Programación Funcional,"lunes, 22 de febrero de 2027",18:00
72.71,Integración de Sistemas de Información,"jueves, 11 de febrero de 2027",15:00
72.74,Visualización de Información,"viernes, 5 de febrero de 2027",10:00
72.75,Aprendizaje Automático (Machine Learning),"miércoles, 17 de febrero de 2027",16:00
72.79,Sistemas Multiagentes I,"miércoles, 10 de febrero de 2027",18:00
72.80,Big Data,"miércoles, 10 de febrero de 2027",18:00
72.87,Diseño Sonoro para Animación y Videojuegos,"martes, 23 de febrero de 2027",9:00
72.90,Internet de las Cosas (IoT),"miércoles, 10 de febrero de 2027",19:00
72.92,El Paradigma NoSQL - Bases de Datos de Grafos,"miércoles, 17 de febrero de 2027",14:00
72.97,Introducción a la Programación de Videojuegos,"miércoles, 10 de febrero de 2027",18:00
73.21,Desarrollo de Aplicaciones Móviles Multiplataforma,"lunes, 22 de febrero de 2027",18:00
73.22,Fundamentos de DevOps,"jueves, 18 de febrero de 2027",18:00
73.30,Desarrollo profesional de software: del código al producto,"miércoles, 10 de febrero de 2027",19:00
73.40,Arquitectura de Microservicios,"viernes, 19 de febrero de 2027",17:00
73.64,Temas Avanzados en Deep Learning,"viernes, 12 de febrero de 2027",18:00
73.69,Large Language Models,"miércoles, 10 de febrero de 2027",19:00
73.70,Análisis de datos en neurociencias,"viernes, 12 de febrero de 2027",13:00
73.81,Ciberseguridad Ofensiva y Defensiva,"lunes, 15 de febrero de 2027",16:00
73.82,Bases de Datos Espaciales y de Movilidad,"miércoles, 10 de febrero de 2027",14:00
73.84,Ciencia de Datos Aplicada,"miércoles, 17 de febrero de 2027",19:00
73.89,Introducción a Blockchain y Criptomonedas,"martes, 23 de febrero de 2027",18:00
73.98,Desarrollo Integral de Videojuegos,"lunes, 14 de diciembre de 2026",18:00
74.60,Visión por Computadora (Computer Vision),"lunes, 22 de febrero de 2027",16:00
81.03,Sistemas de Información,"miércoles, 10 de febrero de 2027",16:00
81.04,Teoría de Juegos y Estrategia,"miércoles, 3 de febrero de 2027",19:00
81.07,Sistemas Contables,"miércoles, 10 de febrero de 2027",16:00
81.11,Contabilidad Gerencial,"jueves, 11 de febrero de 2027",8:00
81.18,Taller de Simulación Comercial,"miércoles, 10 de febrero de 2027",13:00
81.19,Marketing Digital,"jueves, 11 de febrero de 2027",17:00
81.20,Comercialización ,"miércoles, 10 de febrero de 2027",13:00
81.20,Comercialización (Inglés),"miércoles, 10 de febrero de 2027",13:00
81.21,Gestión de Ventas,"miércoles, 10 de febrero de 2027",19:00
81.23,Comercio Electrónico,"miércoles, 17 de febrero de 2027",16:00
81.26,Comercio Exterior,"miércoles, 10 de febrero de 2027",13:00
81.28,Tecnologías exponenciales,"jueves, 18 de febrero de 2027",9:00
81.29,Gestión organizacional basada en procesos de negocio,"miércoles, 10 de febrero de 2027",19:00
81.32,Análisis funcional de aplicaciones informáticas,"jueves, 11 de febrero de 2027",19:00
81.33,Diseño de aplicaciones informáticas,"jueves, 4 de febrero de 2027",19:00
81.34,Arquitectura empresarial,"lunes, 22 de febrero de 2027",19:00
81.42,Estrategia Empresarial,"miércoles, 17 de febrero de 2027",14:00
81.46,Auditoría General y de Sistemas,"martes, 23 de febrero de 2027",19:00
81.47,Impuestos para la toma de decisiones I,"miércoles, 10 de febrero de 2027",19:00
81.48,Impuestos para la toma de decisiones II,"lunes, 15 de febrero de 2027",19:00
81.49,Branding y Comunicación,"miércoles, 17 de febrero de 2027",8:00
81.53,Negocios en Internet,"miércoles, 10 de febrero de 2027",19:00
81.54,Aplicaciones en Internet,"miércoles, 10 de febrero de 2027",19:00
81.57,Arquitectura de soluciones digitales,"lunes, 22 de febrero de 2027",19:00
81.58,Service Design,"miércoles, 17 de febrero de 2027",19:00
81.59,Gestión de Servicios,"jueves, 11 de febrero de 2027",19:00
81.65,Logística Internacional,"miércoles, 10 de febrero de 2027",13:00
81.68,Sistemas Integrados de Gestión I,"martes, 23 de febrero de 2027",19:00
81.71,Marketing avanzado,"jueves, 18 de febrero de 2027",13:00
81.85,CRM Action Lab,"miércoles, 10 de febrero de 2027",17:00
81.86,"Gestión de la Experiencia del Usuario (CX, UX, UI)","miércoles, 10 de febrero de 2027",19:00
81.91,Inteligencia Artificial Aplicada a los Negocios,"viernes, 12 de febrero de 2027",9:00
81.95,Proyecto de lanzamiento de productos o servicios (Trabajo Final),"jueves, 11 de febrero de 2027",16:00
81.97,Diagnóstico Empresario y Plan de Acción ( Trabajo Final ),"jueves, 18 de febrero de 2027",16:00
82.01,Proyecto I,"miércoles, 17 de febrero de 2027",11:00
82.02,Proyecto Final - Analítica,"lunes, 22 de febrero de 2027",19:00
82.03,Gestión del Ciclo de Vida de la Información,"lunes, 22 de febrero de 2027",10:00
82.07,Blockchain (Moneda digital descentralizada),"viernes, 19 de febrero de 2027",19:00
82.08,Cloud Computing,"miércoles, 10 de febrero de 2027",19:00
82.10,Analítica en Transporte y Logística,"miércoles, 10 de febrero de 2027",13:00
82.15,Matemática Aplicada,"miércoles, 10 de febrero de 2027",8:00
82.17,Análisis Multivariado,"viernes, 5 de febrero de 2027",11:00
82.18,Procesamiento del Lenguaje Natural,"lunes, 22 de febrero de 2027",8:00
82.20,Análisis Predictivo Avanzado,"miércoles, 17 de febrero de 2027",19:00
82.23,Marketing Analytics,"jueves, 18 de febrero de 2027",19:00
82.81,Analítica de Big Data con Spark,"jueves, 18 de febrero de 2027",8:00
92.01,Análisis Matemático I,"jueves, 4 de febrero de 2027",8:00
92.02,Análisis Matemático II,"jueves, 11 de febrero de 2027",11:00
92.03,Análisis Matemático III,"viernes, 5 de febrero de 2027",11:00
92.04,Análisis Matemático IV,"jueves, 11 de febrero de 2027",14:00
92.05,Análisis Matemático IV,"jueves, 11 de febrero de 2027",14:00
92.07,Análisis Matemático V,"lunes, 15 de febrero de 2027",9:00
93.07,Métodos Numéricos,"viernes, 12 de febrero de 2027",18:00
93.16,Matemática Discreta,"viernes, 12 de febrero de 2027",8:00
93.18,Álgebra Lineal,"viernes, 5 de febrero de 2027",8:00
93.20,Análisis Matemático,"jueves, 4 de febrero de 2027",11:00
93.21,Álgebra,"viernes, 5 de febrero de 2027",16:00
93.24,Probabilidad y Estadística,"viernes, 5 de febrero de 2027",14:00
93.26,Análisis Matemático I,"jueves, 4 de febrero de 2027",8:00
93.28,Análisis Matemático II,"jueves, 4 de febrero de 2027",11:00
93.35,Lógica Computacional,"jueves, 11 de febrero de 2027",14:00
93.36,Probabilidad,"viernes, 12 de febrero de 2027",14:00
93.39,Estadística,"viernes, 12 de febrero de 2027",9:00
93.41,Física I,"viernes, 5 de febrero de 2027",11:00
93.42,Física II,"miércoles, 10 de febrero de 2027",8:00
93.43,Física III,"jueves, 11 de febrero de 2027",8:00
93.44,Física IV,"jueves, 11 de febrero de 2027",11:00
93.54,Métodos Numéricos,"martes, 23 de febrero de 2027",14:00
93.58,Álgebra,"jueves, 11 de febrero de 2027",11:00
93.59,Matemática Discreta,"viernes, 5 de febrero de 2027",11:00
93.61,Física IV ,"jueves, 11 de febrero de 2027",11:00
93.75,Métodos Numéricos Avanzados,"viernes, 19 de febrero de 2027",19:00
94.11,Sociología Política,"miércoles, 17 de febrero de 2027",8:00
94.12,Antropología,"miércoles, 10 de febrero de 2027",14:00
94.13,Gestión de Organizaciones Sociales,"jueves, 3 de diciembre de 2026",14:00
94.23,Formación General III,"jueves, 18 de febrero de 2027",14:00
94.24,Metodología del Aprendizaje,"martes, 23 de febrero de 2027",19:00
94.27,Administración de Recursos Humanos,"jueves, 18 de febrero de 2027",16:00
94.40,Estructura de las Organizaciones,"jueves, 18 de febrero de 2027",14:00
94.62,Ética en los Negocios,"jueves, 11 de febrero de 2027",18:00
94.63,Epistemología y Heurística,"martes, 23 de febrero de 2027",19:00
94.64,Prácticas Expositivas,"miércoles, 17 de febrero de 2027",9:00
