Cód,Materia,Primer llamado,Hora,Segundo llamado,Hora
11.73,Teoría de la Decisión,"martes, 15 de diciembre de 2026",19:00,"martes, 22 de diciembre de 2026",19:00
11.75,Tecnologías y Procesos de Producción,"lunes, 14 de diciembre de 2026",16:00,"lunes, 21 de diciembre de 2026",16:00
11.76,Gestión de Calidad,"miércoles, 9 de diciembre de 2026",19:00,"miércoles, 23 de diciembre de 2026",19:00
11.83,Gestión de Operaciones,"viernes, 11 de diciembre de 2026",16:00,"martes, 22 de diciembre de 2026",19:00
11.84,Gestión de Proyectos,"lunes, 14 de diciembre de 2026",15:00,"lunes, 21 de diciembre de 2026",15:00
11.85,Toma de Decisiones,"jueves, 10 de diciembre de 2026",13:00,"jueves, 17 de diciembre de 2026",13:00
11.86,Investigación de Operaciones I,"jueves, 10 de diciembre de 2026",19:00,"jueves, 17 de diciembre de 2026",19:00
11.87,Investigación de Operaciones II,"martes, 15 de diciembre de 2026",18:00,"martes, 22 de diciembre de 2026",18:00
11.89,Formulación y Evaluación de Proyectos,"miércoles, 16 de diciembre de 2026",15:00,"miércoles, 23 de diciembre de 2026",15:00
12.09,Química,"martes, 15 de diciembre de 2026",8:00,"martes, 22 de diciembre de 2026",8:00
12.11,Operaciones Unitarias I,"miércoles, 9 de diciembre de 2026",19:00,"miércoles, 23 de diciembre de 2026",19:00
12.12,Operaciones Unitarias II,"jueves, 10 de diciembre de 2026",19:00,"jueves, 17 de diciembre de 2026",19:00
12.13,Operaciones Unitarias III,"viernes, 11 de diciembre de 2026",13:00,"viernes, 18 de diciembre de 2026",13:00
12.19,Química Analítica,"lunes, 14 de diciembre de 2026",14:00,"lunes, 21 de diciembre de 2026",14:00
12.20,Química-Física,"miércoles, 9 de diciembre de 2026",15:00,"miércoles, 23 de diciembre de 2026",15:00
12.24,Ingenieria de Reacciones y Reactores I,"viernes, 11 de diciembre de 2026",18:00,"viernes, 18 de diciembre de 2026",18:00
12.25,Ingeniería de Reacciones y Reactores II,"jueves, 10 de diciembre de 2026",11:00,"jueves, 17 de diciembre de 2026",11:00
12.26,Termodinámica,"miércoles, 9 de diciembre de 2026",19:00,"martes, 22 de diciembre de 2026",19:00
12.27,Simulación de Procesos,"lunes, 14 de diciembre de 2026",19:00,"lunes, 21 de diciembre de 2026",19:00
12.33,Química Orgánica II,"viernes, 11 de diciembre de 2026",8:00,"viernes, 18 de diciembre de 2026",8:00
12.34,Química Orgánica para Petroleo,"viernes, 4 de diciembre de 2026",8:00,"viernes, 18 de diciembre de 2026",8:00
12.36,Química de Macromoléculas,"martes, 15 de diciembre de 2026",13:00,"martes, 22 de diciembre de 2026",13:00
12.46,Introducción al Proceso de Fabricación de Aceros,"jueves, 10 de diciembre de 2026",19:00,"jueves, 17 de diciembre de 2026",19:00
12.51,Tecnología de los Alimentos,"martes, 15 de diciembre de 2026",19:00,"martes, 22 de diciembre de 2026",19:00
12.52,Bioquímica de los Alimentos,"jueves, 10 de diciembre de 2026",16:00,"jueves, 17 de diciembre de 2026",16:00
12.53,Introducción a la Ing de los Alimentos,"martes, 15 de diciembre de 2026",13:00,"martes, 22 de diciembre de 2026",13:00
12.57,Seguridad e Inocuidad Alimentaria,"miércoles, 9 de diciembre de 2026",13:00,"miércoles, 16 de diciembre de 2026",13:00
12.66,Gestión de la Salud y Seguridad en el Trabajo,"viernes, 11 de diciembre de 2026",13:00,"viernes, 18 de diciembre de 2026",13:00
12.67,Química General,"miércoles, 2 de diciembre de 2026",8:00,"sábado, 12 de diciembre de 2026",8:00
12.83,Seguridad Ocupacional y Ambiental,"viernes, 11 de diciembre de 2026",16:00,"lunes, 21 de diciembre de 2026",19:00
12.84,Introducción a la Ingeniería Ambiental,"martes, 15 de diciembre de 2026",13:00,"martes, 22 de diciembre de 2026",13:00
12.85,Diseño Conceptual de Procesos,"viernes, 11 de diciembre de 2026",16:00,"viernes, 18 de diciembre de 2026",16:00
12.87,Tratamiento de Efluentes,"viernes, 11 de diciembre de 2026",13:00,"viernes, 18 de diciembre de 2026",13:00
12.90,Proyecto de Plantas (Anual),"lunes, 14 de diciembre de 2026",18:00,"lunes, 21 de diciembre de 2026",18:00
12.94,Introducción a la Ing. Nuclear,"jueves, 10 de diciembre de 2026",19:00,"jueves, 17 de diciembre de 2026",19:00
12.97,Trabajo de Investigación Dirigido II,"miércoles, 9 de diciembre de 2026",16:00,"miércoles, 16 de diciembre de 2026",16:00
13.01,Química Inorgánica,"lunes, 7 de diciembre de 2026",11:00,"lunes, 14 de diciembre de 2026",11:00
13.02,Fundamentos de Química Orgánica,"viernes, 11 de diciembre de 2026",8:00,"viernes, 18 de diciembre de 2026",8:00
13.03,Química Orgánica I,"viernes, 11 de diciembre de 2026",11:00,"viernes, 18 de diciembre de 2026",11:00
15.89,Mejora continua de procesos,"viernes, 11 de diciembre de 2026",10:00,"viernes, 18 de diciembre de 2026",10:00
16.01,Biología Molecular y Celular,"jueves, 3 de diciembre de 2026",9:00,"jueves, 17 de diciembre de 2026",9:00
16.02,Histología y Anatomía,"miércoles, 9 de diciembre de 2026",16:00,"miércoles, 16 de diciembre de 2026",16:00
16.03,Fisiología,"jueves, 3 de diciembre de 2026",19:00,"martes, 15 de diciembre de 2026",19:00
16.04,Neurociencias y Desarrollo Productivo,"jueves, 3 de diciembre de 2026",16:00,"jueves, 17 de diciembre de 2026",16:00
16.09,Ventilación Mecánica,"lunes, 14 de diciembre de 2026",13:00,"lunes, 21 de diciembre de 2026",13:00
16.14,Fisiología Cuantitativa,"jueves, 3 de diciembre de 2026",13:00,"jueves, 10 de diciembre de 2026",13:00
16.17,Instrumentación Biomédica I,"lunes, 7 de diciembre de 2026",18:00,"lunes, 21 de diciembre de 2026",18:00
16.18,Instrumentación Biomédica II,"jueves, 17 de diciembre de 2026",19:00,"martes, 22 de diciembre de 2026",19:00
16.19,Biosensores,"viernes, 11 de diciembre de 2026",16:00,"viernes, 18 de diciembre de 2026",16:00
16.20,Biomedicina Estructural y Computacional,"miércoles, 9 de diciembre de 2026",9:00,"miércoles, 16 de diciembre de 2026",9:00
16.21,Bioinformática,"miércoles, 9 de diciembre de 2026",8:00,"miércoles, 16 de diciembre de 2026",8:00
16.22,Informática Médica,"miércoles, 16 de diciembre de 2026",19:00,"miércoles, 23 de diciembre de 2026",19:00
16.23,Órganos Artificiales,"martes, 15 de diciembre de 2026",16:00,"martes, 22 de diciembre de 2026",16:00
16.24,Ingeniería de Rehabilitación,"miércoles, 9 de diciembre de 2026",14:00,"miércoles, 16 de diciembre de 2026",14:00
16.25,Ingeniería Clínica,"miércoles, 16 de diciembre de 2026",19:00,"miércoles, 23 de diciembre de 2026",16:00
16.27,Ingeniería de Tejidos,"viernes, 11 de diciembre de 2026",10:00,"viernes, 18 de diciembre de 2026",10:00
16.27,Ingeniería de Tejidos,"viernes, 11 de diciembre de 2026",10:00,"viernes, 18 de diciembre de 2026",10:00
16.29,Diseño de Fármacos,"viernes, 11 de diciembre de 2026",16:00,"viernes, 18 de diciembre de 2026",16:00
16.32,Redes Neuronales en BIO,"miércoles, 16 de diciembre de 2026",9:00,"miércoles, 23 de diciembre de 2026",9:00
16.33,Ingeniería Hospitalaria,"miércoles, 16 de diciembre de 2026",19:00,"miércoles, 23 de diciembre de 2026",16:00
16.43,Bioestadística,"martes, 15 de diciembre de 2026",16:00,"martes, 22 de diciembre de 2026",16:00
16.44,Física Médica,"viernes, 4 de diciembre de 2026",13:00,"viernes, 18 de diciembre de 2026",13:00
16.50,Introducción de la Bioinformática,"jueves, 3 de diciembre de 2026",8:00,"jueves, 10 de diciembre de 2026",8:00
16.52,Inmunología Biológica,"viernes, 11 de diciembre de 2026",18:00,"jueves, 17 de diciembre de 2026",8:00
16.53,Biotecnología Aplicada,"miércoles, 9 de diciembre de 2026",16:00,"miércoles, 16 de diciembre de 2026",16:00
16.55,Biología,"miércoles, 9 de diciembre de 2026",14:00,"miércoles, 16 de diciembre de 2026",14:00
16.57,Robótica Bioinspirada,"martes, 15 de diciembre de 2026",13:00,"martes, 22 de diciembre de 2026",13:00
16.63,Procesamiento de Señales e Imágenes Biomédicas,"miércoles, 9 de diciembre de 2026",19:00,"miércoles, 23 de diciembre de 2026",19:00
16.64,Mecánica de biomateriales y tejidos,"miércoles, 9 de diciembre de 2026",16:00,"miércoles, 16 de diciembre de 2026",16:00
16.68,Señales y Sistemas,"miércoles, 9 de diciembre de 2026",17:00,"martes, 15 de diciembre de 2026",13:00
16.79,Neurociencias,"miércoles, 9 de diciembre de 2026",10:00,"miércoles, 16 de diciembre de 2026",10:00
16.80,Microfluídica,"miércoles, 2 de diciembre de 2026",19:00,"miércoles, 16 de diciembre de 2026",19:00
16.81,Neurobiología del Aprendizaje y Control del Movimiento,"martes, 15 de diciembre de 2026",13:00,"martes, 22 de diciembre de 2026",13:00
16.85,Procesamiento Avanzado de Imágenes en Biología y Biomedicina,"lunes, 7 de diciembre de 2026",10:00,"lunes, 14 de diciembre de 2026",10:00
16.97,Modelado en mecánica cardiovascular,"martes, 15 de diciembre de 2026",16:00,"martes, 22 de diciembre de 2026",16:00
16.98,Glicobiología Funcional,"jueves, 3 de diciembre de 2026",16:00,"jueves, 17 de diciembre de 2026",16:00
17.01,Introducción a la Ingeniería Química,"miércoles, 9 de diciembre de 2026",10:00,"miércoles, 16 de diciembre de 2026",10:00
17.02,Procesos Industriales,"miércoles, 9 de diciembre de 2026",12:00,"miércoles, 16 de diciembre de 2026",12:00
17.03,Bioquímica y Microbiología Aplicadas,"jueves, 10 de diciembre de 2026",8:00,"jueves, 17 de diciembre de 2026",8:00
17.04,Fenómenos de Transporte,"miércoles, 9 de diciembre de 2026",13:00,"miércoles, 23 de diciembre de 2026",13:00
17.05,Control de Procesos,"martes, 15 de diciembre de 2026",17:00,"martes, 22 de diciembre de 2026",17:00
17.06,Proyecto Final de Carrera I,"lunes, 14 de diciembre de 2026",19:00,"lunes, 21 de diciembre de 2026",19:00
17.07,Proyecto Final de Carrera II,"lunes, 14 de diciembre de 2026",19:00,"lunes, 21 de diciembre de 2026",19:00
17.08,Seguridad de Procesos,"jueves, 3 de diciembre de 2026",19:00,"jueves, 17 de diciembre de 2026",19:00
17.09,Industrias Químicas,"miércoles, 9 de diciembre de 2026",19:00,"miércoles, 16 de diciembre de 2026",19:00
17.10,"Desarrollo de Yacimientos, Producción, Tratamiento y Comercialización de Gas y Petróleo","martes, 15 de diciembre de 2026",19:00,"martes, 22 de diciembre de 2026",19:00
17.15,Introducción a la Ingeniería Ambiental,"martes, 15 de diciembre de 2026",13:00,"martes, 22 de diciembre de 2026",13:00
17.16,Introducción a la Nanotecnología,"miércoles, 9 de diciembre de 2026",19:00,"miércoles, 16 de diciembre de 2026",19:00
17.19,Calidad de Aire,"lunes, 7 de diciembre de 2026",16:00,"lunes, 14 de diciembre de 2026",16:00
17.20,Agua y Efluentes Líquidos,"viernes, 11 de diciembre de 2026",18:00,"viernes, 18 de diciembre de 2026",18:00
17.23,Triple Impacto: Estrategias para el Desarrollo Sostenible,"jueves, 10 de diciembre de 2026",19:00,"jueves, 17 de diciembre de 2026",19:00
17.24,Introducción al Proceso de Producción de Cerveza,"jueves, 3 de diciembre de 2026",16:00,"jueves, 17 de diciembre de 2026",16:00
18.01,Introducción a la Biotecnología,"viernes, 4 de diciembre de 2026",13:00,"viernes, 11 de diciembre de 2026",13:00
18.02,Fisiología y Genética de Microorganismos,"viernes, 11 de diciembre de 2026",19:00,"viernes, 18 de diciembre de 2026",19:00
19.01,Fundamentos del comportamiento humano,"miércoles, 9 de diciembre de 2026",16:00,"miércoles, 16 de diciembre de 2026",16:00
19.02,Filosofía de la mente,"viernes, 11 de diciembre de 2026",13:00,"viernes, 18 de diciembre de 2026",13:00
21.06,Electrotecnia,"jueves, 10 de diciembre de 2026",9:00,"jueves, 17 de diciembre de 2026",9:00
21.08,Electrotecnia,"lunes, 7 de diciembre de 2026",16:00,"lunes, 14 de diciembre de 2026",16:00
21.09,Máquinas Eléctricas,"lunes, 7 de diciembre de 2026",18:00,"martes, 15 de diciembre de 2026",18:00
21.10,Instalaciones Eléctricas,"miércoles, 16 de diciembre de 2026",13:00,"miércoles, 23 de diciembre de 2026",13:00
21.30,Principios y Aplicaciones Eléctricas,"miércoles, 9 de diciembre de 2026",16:00,"miércoles, 16 de diciembre de 2026",16:00
21.44,Instalaciones Eléctricas,"miércoles, 16 de diciembre de 2026",13:00,"miércoles, 23 de diciembre de 2026",13:00
22.10,Electrónica e Instrumentación,"miércoles, 2 de diciembre de 2026",19:00,"miércoles, 9 de diciembre de 2026",19:00
